proper names,WGSN-id,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Ethnic-Cultural_Group_or_Language,Reference,Date of Adoption
Kamelos,2457,HR 2363,31940,,Kamelos,Cam,"""Kamelos"" is Greek for camel, a pun with the name of the constellation ""Camelopardalis"" whose Latin term is a Greek loanword, literally meaning ""checkered camel"" = giraffe. On this base, Jacob Bartsch proposed 1624 ""Camelus Rebeccae"" as an alternative name for the constellation Camelopardalis, a reference to the story of Abraham's daughter-in-law, Rebecca.",Greek,see ASE,12/25/2025
Custos,1226,HR 1155,17884,BE Cam,Custos,Cam,"Custos Messium, the Harvest Keeper, was a constellation invented in Early Modern Time by the French astronomer Joseph Jérôme de Lalande (1732–1807) who might have punned with the name of his compatriot Charles Messier. Some European astronomers copied and translated it, though. The constellation became obsolete in the depolitisation of the IAU-sky and WGSN only resembles the Keeper, Custos.",Latin,see ASE,12/25/2025
Huagai,765,HR 707,11569,iot Cas,Huagai,Cas,"Huá Gài (Canopy of the Emperor, ??) is a Chinese asterism consisting of sixteen stars, divided into two parts: seven stars forming the Huá Gài (“Canopy”) proper and nine forming the Gàng (“Shaft”). The asterism originated within the Gan school during the Han dynasty, around the first century BCE.",Chinese,see ASE,12/25/2025
Gang,641,HR 580,9598,50 Cas,Gang,Cas,"Gàng (“Shaft”) forms part of the ancient Chinese asterism of Huá Gài (Canopy of the Emperor, ??). Allen (1899) mentions the term as a star name in Cam but WGSN places it in a correcter position.",Chinese,see ASE,12/25/2025
Rangifer,654,HR 592,9763,49 Cas,Rangifer,Cas,"Rangifer, the Reindeer, is an extinct constellation first introduced by Pierre-Charles Le Monnier in 1743 in the book La Théorie des Comètes. He aimed to resemble an Indigenous constellation of the Sami people in Northern Scandinavia, where he had travelled to on a geodetic expedition.",Latin,see ASE,12/25/2025
Tarandus,360,HR 285,5372,2 UMi,Tarandus,Cep,"Tarandus is an alternative name for the Early Modern European constellation ""Rangifer"", the Reindeer, from Greek ???????? (reindeer), Latinised by Carl Linnaeus 1758 ""Cervus Tarandus"" for a species, Jamieson 1822 used ""Rangifer tarandus"" for the reindeer in the sky.",Latin,see ASE,12/25/2025
Sarvvis,1167,HR 1122,17358,? Per,Sarvvis,Per,"Sarvvis, the reindeer or moose (bull), is an Indigenous constellation, used by the Sami people of northern Scandinavia.",Sami,see ASE,12/25/2025
Áldu,1268,HR 1220,18532,? Per,Aldu,Per,"Áldu, the Reindeer Cow, in Sami language. The Sami constellation of the reindeer is usually called with the male term ""Sarvvis"", but mythology reports it keeping its antlers during winter, which only females do.",Sami,see ASE,12/25/2025
Cexing,169,HR 130,2599,? Cas,Cexing,Cas,"Cè (Whip, ?) is an ancient Chinese star name representing the horsewhip, located beside the asterism Wangliang (??) and closely associated with both Wangliang (??) and Tiansi (??). It belongs to the G?n school. ""Xing"" means star. The ancients sometimes also call it Cexing (whip star) or Tiance (celestial whip). In modern and postmodern literature in English, the name is occasionally used for ? Cas but this is a late shift, only attested from the 18th century onwards when the Chinese uranography was reworked under Jesuit influence. WGSN corrects the adoption to the Indigenous version.",Chinese,see ASE,11/13/2025
Tiansi,299,HR 264,4427,? Cas,Tiansi,Cas,"Ti?n Sì (Heavenly Quadriga, ??) is an old Chinese asterism, attested for at least 2000 years. It comprises four of the five stars forming the constellation Wangliang (??) and represents the four horses pulling the chariot. It may thus be regarded as a constituent sub-constellation/asterism of Wangliang (??). In the literature in English, the name ""Ce"" (old spelling: Tsih) can be found; WGSN corrects this misapplication of an old star name.",Chinese,see ASE,11/13/2025
Bagu,2113,HR 2077,28358,? Aur,Bagu,Aur,"B? G? (Eight Kinds of Crops, ??) is a Chinese constellation consisting of eight stars located within the constellations Lynx, Auriga, and Camelopardalis. It refers to land management officials in charge of rice, millet, barley, wheat, soybean, bean, chestnut, and hemp. It belongs to the asterisms introduced by Gan De and originated during the Han dynasty (roughly 2000 years ago).",Chinese,see ASE,11/13/2025
Apdu,711,HR 664,10670,? Tri,Apdu,Tri,"Apd(w), ?pd, The Bird, is an ancient Egyptian constellation from the second millennium BCE; the language is moribunt. There are at least 21 spelling variants throughout the millennia in hierglyphs, and it is probably not any specific bird; might be a goose or falcon or something else. Four star names within the constellation are attested in Ramesside Star Clocks and identified with the area between ?, ? Per and all of Triangulum. WGSN adopts the name of the constellation for any unspecific spot within its area to preserve an old Egyptian cultural name.",Egyptian,see ASE,11/13/2025
Alaybasan,669,HR 622,10064,? Tri,Alaybasan,Tri,"Al-Aybas?n (????????), the Two Joints (of bones), is an Indigenous Arabian asterism. Name variants are Al-An?s?n (????????) and Al-Baysan. The later spelling variant al-An?s?n that originated from a mistake changed the meaning, as it translates The Two Friends. WGSN adopts a spelling variant without hyphen: ""Alaybasan"" is the name for ? Tri",Arabic,see ASE,11/7/2025
Shengong,6342,HR 6298,83100,,Shengong,Sco,"Shengong (??, Divine Palace) is a subsidiary asterism attached to the lodge W?i (?), Tail [of the Azure Dragon], located to the left of its determinative star and consisting of only one star (single star-asterism).",Chinese,see ASE,10/16/2025
Apamvatsa,5097,HR 5095,66006,74 Vir,Apamvatsa,Vir,"Ap??vatsa (????????), ""calf of the waters"" (or: ""the smaller one""), is an Indian star name attested throughout the last millennium. The only indication of the position is Apamvatsa is 5° to the north of Citr? (??????) (Spica) in Virgo, attested in several historical documents.",Indian,see ASE,10/16/2025
Siwarha,10132,-,,? Ori B,Siwarha,Ori,"The name Betelgeuse means “Hand of al-Jawz?’,” with “al-jawz?’” being the name of an old Arabian female figure whose stars were largely consistent with Greek Orion. Given that alpha Ori A orbits the hand of al-Jawz?’, the discovery team suggested that the companion star be named ?????? (Siwarha), or “Her Bracelet.”",Arabic,see ASE,9/22/2025
Blaze Star,10133,HR 5958,78322,T CrB,Blaze Star,CrB,"""Blaze Star"" as a nickname for the recurrent nova T CrB has occurred in magazines since 1866. At that time, the physics of novae and supernovae was yet unknown, and the eruption of T CrB in 1866 was actually the first time of a naked-eye transient with spectroscopic evidence for hydrogen in the emission nebula. Recurrent Novae are a rare type of stars; only ten Galactic objects are known. T CrB is the prototype of T CrB-type recurrent novae which are contact binaries composed of a white dwarf orbiting a red giant.",English,see ASE,9/22/2025
Shatabhisha,8676,HR 8698,112961,? Aqr,Shatabhisha,Aqr,"?atabhi?a (?????), literally ""hundred physicians"", is the name of the 24th nakshatra of Vedic astronomy. Its earliest attestation is in a Vedic religious text (Atharvaveda) from the first millennium BCE, and an astronomy text (Vedanga Jyotisha) that dates around 300 BCE.  As the yogatara (main star) of this nakshatra, ? Aquarii stands ""pars pro toto"" for the entire constellation.",Indian,see ASE,9/22/2025
Junnanmen,362,HR 335,5434,? And,Junnanmen,And,"J?n Nán Mén (???, ""Southern Millitary Gate"") is a Chinese constellation, simplified: Junnanmen. It is the name of a Chinese single-star asterism that WGSN preserves in its earliest version (before Tang Dynasty), identified with ? And. The two components are named Junnanmen A and Junnanmen B (they have the same numbers in HR and HIP, and a ""gate"" constellation in China should normally consist of two stars which is not the case here surprisingly).",Chinese,see ASE,8/25/2025
Dajiangjunbei,536,HR 496,8068,? Per,Dajiangjunbei,Per,"????, “Celestial Grand General” is an important constellation in ancient China. As the determinative star was already named, WGSN named the northernmost star ""The Northern one of The Great General"" (Dajiangjunbei).",Chinese,see ASE,8/25/2025
Hydor,22,HR 9098,301,2 Cet,Hydor,Cet,"The IAU-name ""Hydor"" resembles the original application of this name as a constellation in a vast area of faint stars in antiquity. It fits nicely the Indigenous Arabian constellation of ""Safina"", Ship. Note that the name ""Hydor"" was misapplied to a star in Aqr in the recent time. WGSN corrects this mistake. The Greek term ""Hydor"" (????), Water, originally referred to a huge constellation, depicted around Cetus on ancient globes and described south of Aquarius in Aratus's poem of the 4th century BCE.",Greek,see ASE,8/25/2025
Triminus,687,HR 642,10280,6 Tri,Triminus,Tri,"The star ? Tri (iota or 6 Trianguli) is the brightest one in the early modern variant of a lesser triangle next to the recognisable classical asterism within the constellation Triangulum. The name is composed of the IAU-abbreviation ""Tri"" and Hevelius's name ""Minus"" for the lesser triangle. The name applies to the visible dot in the sky, so that ""iot Tri A"" is ""Triminus A"". The other component is not visible to the naked eye.",Latin,see ASE,8/25/2025
Bodu,6775,HR 6730,88267,95 Her,Bodu,Her,"Bó Dù (??, “Textile Ruler”) is a Chinese asterism consisting of two stars, established by the Wuxian (??) tradition during the Han dynasty. WGSN chose to adopt the name according to the Yi Shitong catalog because earlier identifications are highly uncertain.",Chinese,see ASE,6/17/2025
Deltoton,9300,HR 660,10644,? Tri,Deltoton,Tri,"Deltoton (????????; the letter Delta: ?) is an ancient Greek name variant for the constellation triangulum, probably the original one as ""Delta"" is the first letter in the ancient Greek term for ""dios"", the highest god who possesses and rules the stars. In early uranographies, this triangle was considered a sign of the divinity of the starry sky, a divine inscription ""written in the stars"".",Greek,see ASE,6/17/2025
Ramus,6830,HR 6787,88886,102 Her,Ramus,Her,"Ramus, The Branch (of golden apples), is an addition to the early modern asterism Cerberus in Hercules. The name occurs in Bayer (1603) as a term but in depiction only later.",Latin,see ASE,6/17/2025
Tusizuo,6924,HR 6895,90139,109 Her,Tusizuo,Her,"Tú Sì (??, ""Butcher's Shop"") is a Chinese asterism consisting of two stars, established by the Wuxian (??) school during the Han dynasty. As ""Tusi"" could be confused with other celestial bodies named Tusi after two Persian astronomers (asteroid (10269) Tusi and asteroid (7058) Al-Tusi), WGSN chose to add a determinative here. The chosen star 95 Her is ""the left one in Tusi"", in Chinese ""Tusizuo"", so WGSN adopts this name.",Chinese,see ASE,6/17/2025
Paradys,5511,HR 5470,72370,? Aps,Paradys,Aps,"In Dutch around 1600, two spelling versions of the Apus-bird existed. WGSN decided to take the first part of the earliest written witness, Paradys-vogel (Plancius 1598), to name the main star of the constellation.",Dutch,see ASE,5/18/2025
Honores,8796,HR 8830,114570,7 And,Honores,And,"The Latin term ""Honores"" means honour. A constellation introduced by Bode (1801). He had given a paper in 1790 that this was a joined decision by many European astronomers as a memorial to an extraordinarily generous patron of scientific research and benevolent, peaceful ruler. WGSN considers this message worth to convay even without the dedication to a specific person; we named a star in the feather ""Honores"" as there is a German proverb ""Die Feder ist mächtiger als das Schwert"" (the feather is mightier than the sword).",Latin,see ASE,5/14/2025
Alfarasalkamil,8737,HR 8762,113726,? And,Alfarasalkamil,And,"Alfarasalkamil (????? ??????) means ""The Complete Horse"", as opposed to the Greek constellation of a half horse that is now called Pegasus. The Arabian tradition may root in or connect to the Babylonian one which had a horse in that area, but we don't know where exactly.",Arabic,see ASE,5/8/2025
Kaffalmusalsala,8941,HR 8976,116805,? And,Kaffalmusalsala,And,"Arabic desciption of a Greek star name. The Arabic term (??? ???????) means ""Hand of the Chained Woman""; originating from the Almagest ""Hand of Andromeda"", originally designating a group of three stars.",Arabic,see ASE,5/8/2025
Rasalnaqa,8931,HR 8965,116631,? And,Rasalnaqa,And,"The group of stars that Ptolemy called ""The Hand of Andromeda"" is also called ""The Head of the She-Camel"" in an Indigenous Arabian tradition. as-Sufi (11th c. CE) combines these two traditions, and so does IAU by naming one of the star after ""the hand"" and the other one ""the camel's head""",Arabic,see ASE,5/8/2025
Udkadua,8925,HR 8961,116584,? And,Udkadua,And,"The Sumerian term UD.KA.DU8.A is a compound, literally meaning ""the storm demon with the gaping mouth"". This Babylonian constellation is at least 3000 years old; the star named after it is its heel. It was highly important, as it was used for time-measurement for at least a millennium (if not longer).",Sumerian,see ASE,5/8/2025
Kui,303,HR 271,4463,? And,Kui,And,"Kui?, The Legs, is an ancient Chinese constellation with 16 stars, belonging to the 28 Lunar Mansions in China, with a very long history. Its determinative star used to be zeta And for many centuries but it was changed to eta And in Qing Dynasty.",Chinese,see ASE,4/6/2025
Heng,5197,HR 5190,67464,? Cen,Heng,Cen,"Heng is an old Chinese name of a constellation within the super-constellation of Kulou, The Arsenal. The translation is not certain; probably a measuring device.",Chinese,see ASE,3/16/2025
Shimu,244,HR 215,3693,? And,Shimu,And,"""Tian Shi Mu"", The Eye of the Celestial Pig, is the oldest preserved name for this star in China. Later, this region was named Kui, the Legs, and zeta And was (in historical times before Qing Dynasty) used as the determinative star of this constellation and lunar mansion.",Chinese,see ASE,3/16/2025
Kulou,5035,HR 5028,65109,? Cen,Kulou,Cen,"""Kulou"" (??) means arsenal and storied building. It is a super-constellation in the area of modern Cen/Lup created in ancient China, dating back to the 2nd century BCE.",Chinese,see ASE,2/17/2025
Quadrans,5582,GJ 575,73695,44 Boo A,Quadrans,Boo,Quadrans Muralis is an obsolete constellation invented in 1795 by the French astronomer Jérôme Lalande. WGSN decided to commemorate this constellation as it is the root of the name of the Quadrantide meteor shower that peaks in the first days of January.,Latin,see ASE,2/17/2025
Hoerikwaggo,2195,HR 2261,29271,? Men,Hoerikwaggo,Men,"the name of the constellation originally was Mons Mensae (Table Mountain) and not only ""table""; this mountain had been called Sea-Mountain by Indigenous ethnics, in the Saan/ Khoe language spelled Huri?oaxa, simplified in Africaans Hoerikwaggo.",San / Khoekhoe,see ASE,12/12/2024
Safina,8781,HR 8812,114341,88 Aqr,Safina,Aqr,"an Indigenous Arabic constellation of the Ship was between Diphda and Fomalhaut (see al Qutayba); WGSN picked one of the possible stars in the area. considering the close vicinity of the Greek star name ""Hydor"" (The Water) north of it, it becomes a sunken treasure ship.",Arabic,see ASE,12/12/2024
Xami,5478,HR 5463,71908,? Cir,Xami,Cir,"The South African asterism ""Eyes of the Lion"" refers to alpha and beta Centauri. Assuming these bright stars are the eyes, the face of this creature ""Xami"" covers alf Cir, and the constellation Circinus does not have any mythology or alternative name. Therefore, WGSN decided for an Indigenous name for this main star of a constellation.",\Xam-dialect of Khoe,see ASE,12/12/2024
Zhou,5872,HR 5867,77233,? Ser,Zhou,Ser,This is a traditional Chinese star name of one of the stars in the historical Chinese constellation of Tianshi (Celestial Marketplace).,Chinese,see ASE,12/5/2024
Solitaire,5527,HR 5526,72571,E Hya,Solitaire,Hya,"extinct constellations invented by Le Monnier (1776), Latinized ""Turdus Solitarius"", was originally meant to remember the extinct bird ""Rodrigues Solitaire"", but always depicted as a Blue Rock Thrush.",French,see ASE,10/31/2024
Garnet Star,8280,HR 8316,107259,µ Cep,Garnet Star,Cep,"Piazzi (1803) named the star Garnet Sidus due to a description by W. Herschel (1773) as ""deep garnet red""; the English name is well-established in recent literature and textbooks.",English,see ASE,9/19/2024
Lang-Exster,8488,HR 8502,110130,? Tuc,Lang-Exster,Tuc,"""Lang"" is an Malayan/ Indonesian term meaning ""hornbill"", ""Exster"" is a Dutch word meaning ""magpie"" and both terms were used as name for the newly defined constellation in Early Modern Age by the Dutch sailors (de Houtman 1603) who artificially created the constellation as ""Indian Magpie"" referring to a species of bird with a strong cultural significance for the indigenous people they met (e.g. Dayak). The star is a spectroscopic binary which is why it makes sense to give it a double-name for the visible dot; the name may be split for the components later.",Malay-Dutch,see ASE,9/19/2024
Rhombus,1345,HR 1336,19780,? Ret,Rhombus,Ret,"Lacaille named the constellation ''Réticule Rhomboïde'' which may refer to the earlier constellation ""Rhombus"" that Habrecht (1621) defined in the area.",Latin,see ASE,9/19/2024
Tengshe,8704,HR 8726,113288,,Tengshe,Lac,"Tengshe?? or ?? (Téng Shé, Flying Serpent) is a constellation created by ancient Chinese astrologers, dating back to the 2nd century BCE.",Chinese,see ASE,9/19/2024
Uridim,5473,HR 5469,71860,? Lup,Uridim,Lup,"The constellation of Lupus is one of the few ancient ""Greek"" constellation outside the zodiac that was directly taken over from a Babylonian constellation. The Sumerian term for this creature was UR.IDIM, later alternatively written ""Uridimmu"" in the Akkadian language (the literal Akkadian translation of UR.IDIM would be ""kalbu šegû"", according to lexical lists).",Sumerian,see ASE,9/12/2024
Stellio,8558,HR 8585,111169,? Lac,Stellio,Lac,"Hevelius, who invented the constellation Lacerta sive Stellio (modern Lacerta), gave it the alternative name Stellio in his star catalogue and atlas.",Latin,see ASE,8/29/2024
Pipit,2433,HR 2451,31685,? Pup,Pipit,Pup,"Among the Kendayan (Dayak Kenayatn) people of West Kalimantan province, Borneo, Indonesia, the star ? Pup is identified as ""Pipit"".",Dayak,see ASE,8/25/2024
Bake-eo,6670,HR 6629,87108,? Oph,Bake-eo,Oph,"A Marshallese star name for ? Oph. Pronounced ""bakey-yew"". Both spellings, ""Bake-eo"" and ""Bake Eo"" are accepted. The particle ""Eo"" simply means ""here it is, take it"", Bake is the spondylus mussel.",Marshallese,see ASE,8/20/2024
Leepwal,5234,HD 121263,68002,? Cen,Leepwal,Cen,"?eepwal is the name for ? Cen in Marshallese. Original spelling ?eepwal. Pronounced leyepwal, the first ""l"" being pronounced with the back of the tongue raised (velarized) and the root of the tongue retracted (pharyngealized) so as to elongate the oral cavity, thereby giving the consonant a ""heavier"" or ""darker"" sound.",Marshallese,see ASE,7/18/2024
Shaomin,4111,HD 91316,51624,? Leo,Shaomin,Leo,Taimin?? (or Damin??) for o Leo and Shaomin?? (? Leo) are the two southernmost stars of the Xuanyuan?? constellation. They were used to star names in ancient China.,Chinese,see ASE,7/18/2024
Yunü,3952,HD 87837,49637,31 Leo,Yunu,Leo,"Yunü?? is the star in the middle of the southernmost stars of the Xuanyuan?? constellation. The correct transliteration is ""Yunü"".",Chinese,see ASE,7/18/2024
Antinous,7698,HD 191692,99473,? Aql,Antinous,Aql,"A ""sub""-constellation (or asterism) Antinous was created by Ptolemy of Alexandria and published in the Almagest star catalogue 137 CE. It is placed in the constellation of Aquila, The Eagle.",Greco-Roman,see ASE,6/6/2024
Phyllon Kissinou,4796,23 Com,61394,,Phyllon Kissinou,Com,"Contemporary modern astronomers have used the nickname ""Kissin""; therefore, the real name was made official. The term originates from the phrase ""?????v ???????? (phyllon kissinou, an ivy leaf)"" in Ptolemy's Almagest. The star might be ""multiple or double"" according to SIMBAD, so long double name for the visible dot in the sky might be split up to the components later.",Ancient Greek,see ASE,5/16/2024
Tianfu,7663,HR 7669,98823,? Aql,Tianfu,Aql,Tianfu (??) was an ancient Chinese constellation consisting of four stars. Their counting order has changed over time but we decided to take the name for the 1st star of the early (before Tang dynasty) version.,Chinese,see ASE,5/16/2024
Aiolos,10056,HD 95086,53524,,Aiolos,Car,"Aiolos (??????) was the Greek mythological keeper of the winds. In Homer’s Odyssey, Aiolos used an oxhide flask to capture all winds except for the western one, Zephyr. Zephyr then helped the sailboat of Ulysses navigate the seas towards home (Ithaca).",Greek,"NEWC Greece: Greek Names related to winds, especially from Homer’s Odyssey and from the poem ""The Axion Esti"" (1959) by Greek poet Odysseas Elytis (1911-1996; winner of 1979 Nobel Prize for Literature).",8/1/2023
Añañuca,10052,GJ 367,47780,,Ananuca,Vel,"Añañuca (Phycella cyrtanthoides) is the name of a red wildflower that grows from the Coquimbo region to the Maule region, whose colour alludes to that of the star GJ 367.",Spanish,"NEWC Chile: Names of flowers endemic to Chile, whose characteristics allude to the properties of the named celestial objects.",8/1/2023
Bats??,10121,LHS 3844,,,Batsu,Ind,"Bats?? means “hummingbird” in the Bribri language. Bats?? are the messengers of the creator Sibö?, a culture hero and creator of Earth and Humanity.",Bribri,NEWC Costa Rica: Names of culturally significant animals in the language of the Bribri people from Costa Rica.,8/1/2023
Danfeng,10128,L 168-9,115211,,Danfeng,Tuc,"Danfeng (??) refers to the red phoenix, a sacred bird symbolising good fortune in ancient Chinese legend.",Chinese (Simplified),NEWC China: Mythological birds of ancient China.,8/1/2023
Dilmun,10035,WASP-121,,,Dilmun,Pup,Dilmun was the Sumerian name of an ancient civilisation of the Bahrain archipelago and the eastern Arabian Peninsula.,Sumerian and Greek,NEWC Bahrain: Names of ancient civilisations or places associated with the Bahrain archipelago.,8/1/2023
Filetdor,10051,WASP-166,,,Filetdor,Hya,"""Filet d'Or"" refers to a golden sea serpent, the protagonist in the Mallorcan folktale (rondalla) ""Na Filet d'Or"".",Catalan,"NEWC Spain: Characters in the Catalan dialect from Mallorcan folktales as recorded in ""Aplec de Rondaies Mallorquines d'en Jordi d'es Racó"" by Mallorcan writer Antoni Maria Alcover i Sureda (1862-1932).",8/1/2023
Gar,10070,GJ 486,62452,,Gar,Vir,“Gar” means flame in the Basque language.,Basque,"NEWC Spain: Terms associated with fire, heat, and passion from the Basque language. The original names come from the popular Basque saying “su eta gar” (fire and flame), which signifies passion and enthusiasm.",8/1/2023
Gnomon,10055,WASP-43,,,Gnomon,Sex,"The gnomon (??????) is a basic astronomical instrument, like a sundial, whose shadow length and direction can indicate time or determine latitude.",Greek,"NEWC Romania: Names of ancient astronomical instruments, especially for navigation.",8/1/2023
Guahayona,10081,HAT-P-26,,,Guahayona,Vir,Guahayona was a Taíno mythological hero who was “the one who shone with his own light” and is identified with the morning and evening “star” Venus.,Taino,NEWC Puerto Rico: Names of deities associated with creation myths and storms from the Taíno indigenous people of the Caribbean.,8/1/2023
Kaewkosin,10039,GJ 3470,,,Kaewkosin,Cnc,"Kaewkosin (????????????) refers to the crystals of the Hindu deity Indra in the Thai language, alluding to the ancient belief that the stars were gemstones.",Thai,NEWC Thailand: Terms associated with precious stones in the Thai language.,8/1/2023
Komondor,10077,HAT-P-12,,,Komondor,CVn,The Komondor is a large white Hungarian breed of livestock guardian dog.,Hungarian,NEWC Hungary: Hungarian dog breeds and Hungarian words associated with dogs.,8/1/2023
Kosjenka,10030,WASP-63,,,Kosjenka,Col,Kosjenka is the protagonist of the Croatian fairy tale Rego?.,Croatian,NEWC Croatia: Characters from the Croatian fairy tale Rego? by Croatian children’s writer Ivana Brli?-Mažurani? (1874-1938).,8/1/2023
Maru,10043,WD 0806-661,,,Maru,Vol,‘Maru’ (??) is a Korean word reminiscent of the sky.,Korean,"NEWC Republic of Korea: Korean words reminiscent of the sky, sea, and environment.",8/1/2023
Matza,10072,HIP 65426,65426,,Matza,Cen,Matza refers to “a star in the sky” or “somebody that shines within” in the language of the Zoque people.,Zoque,"NEWC Mexico: Words in the language of the Zoque Indigenous people of Mexico relating to cosmological vision, harmony, conflict, balance, and life.",8/1/2023
Noquisi,10066,GJ 436,57087,,Noquisi,Leo,"“Noquisi” (???, No-Kwee-See) is the Cherokee word for “star”.",Cherokee,NEWC USA: The Cherokee legend of the eagle feather and Cherokee terms associated with celestial objects.,8/1/2023
Orkaria,10099,GJ 1214,,,Orkaria,Oph,Orkaria refers to the red ochre commonly donned by young Maa warriors during cultural ceremonies and alludes to the colour of GJ 1214.,Maa,"NEWC Kenya: Terms describing aspects of the celestial body from the language of the Maa community, including the Maasai, Samburu, Ngasa and Il-Chamus, native to Kenya and Tanzania.",8/1/2023
Uúba,10131,LTT 9779,117883,,Uuba,Scl,"Uúba is the word for “stars”, “seeds”, and “eyes” in the Lenguistica U’wa language (Tunebo) of the U’wa Indigenous community of Colombia.","Lenguistica U’wa language, also known as Tunebo.",NEWC Colombia: Terms in the Lenguistica U’wa (Tunebo) language of the U’wa Indigenous community of Colombia related to their vision of the world and cosmos.,8/1/2023
Wattle,10053,WASP-19,,,Wattle,Vel,"Wattle is a genus of approximately 1000 species of shrubs and trees. The Golden Wattle (Acacia pycnantha), whose colour alludes to the G-type star WASP-19, is native to Australia and is the official floral emblem of Australia.",English,"NEWC Australia: Names of native flora of Australia of cultural significance, whose characteristics allude to the properties of the celestial objects.",8/1/2023
Wouri,10113,WASP-69,,,Wouri,Aqr,"The Wouri is an important river in Cameroon. The 15th-century Portuguese navigator Fernão do Pó noted the large number of shrimps in the river and called it “Rio dos Camero?es” [river of shrimps], which was the source of the nation’s name Cameroon.",Duala,NEWC Cameroon: Rivers and their tributaries in Cameroon that flow into the Gulf of Guinea.,8/1/2023
